nom,adresse_complete,type,prix,prix_min_eur,prix_max_eur,prix_moyen_eur,budget_meteo,note_google,avis_google,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,niveau_fiabilite,doublon_nom_potentiel,doublon_rang,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_eau,pour_nocturne,pour_disco,pour_guinguette,pour_terrasse_hiver,pour_street_food,meteo_pluie,meteo_nuageux,meteo_grand_soleil,source_base,date_traitement_gpt,verification_gpt,notes_gpt,image_url_originale,nom_original,rating_original,reviews_original,prix_original,type_original,raw_WkIe8 src,raw_fontHeadlineSmall,raw_MW4etd,raw_UY7F9,raw_IIrLbb,raw_IIrLbb 2,raw_ZiUbcb,raw_bYkqId,raw_wNNZR,raw_IM91Ib
Olympic Café,,Bar avec musique live,10–20 €,10,20,15.0,pluie,4.0,472,"Bar avec musique live, note 4.0/5, 472 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfPYUmVWjQJUr9kV_nTMsKBJOGlvzvu342oCRy_u5wBrYZOpcxwdPw4Wbefh6bUI4gz6UJceB8YhEvOq1TaWNVKGGtdHHDIqU8xpuAN3vcFVoZ03gyh5vnMLWPB93tjzZQJFBL=w122-h92-k-no,Olympic Café,"4,0",(472),10–20 €,Bar avec musique live,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFfPYUmVWjQJUr9kV_nTMsKBJOGlvzvu342oCRy_u5wBrYZOpcxwdPw4Wbefh6bUI4gz6UJceB8YhEvOq1TaWNVKGGtdHHDIqU8xpuAN3vcFVoZ03gyh5vnMLWPB93tjzZQJFBL=w122-h92-k-no,Olympic Café,"4,0",(472),10–20 €,Bar avec musique live,·,,,
doublevie,,Restaurant,20–60 €,20,60,40.0,nuageux,4.5,528,"Restaurant, note 4.5/5, 528 avis, prix 20–60 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgSn04cHzJUQclmJVledLgQSxc5kHk4Q4R7jXsuOPxs310zWrXnPeEUHatmJiVDP9LENdVS1bLFoXiGjWUBg4mzXTz3xxanMU6uDP9fgmCSbYlMVL2rJO2kjghtN3oL0zfNPid=w139-h92-k-no,doublevie,"4,5",(528),20–60 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgSn04cHzJUQclmJVledLgQSxc5kHk4Q4R7jXsuOPxs310zWrXnPeEUHatmJiVDP9LENdVS1bLFoXiGjWUBg4mzXTz3xxanMU6uDP9fgmCSbYlMVL2rJO2kjghtN3oL0zfNPid=w139-h92-k-no,doublevie,"4,5",(528),20–60 €,Restaurant,·,,,
Harry's Bar Paris,,Bar à cocktails,10–20 €,10,20,15.0,pluie,4.5,2913,"Bar à cocktails, note 4.5/5, 2913 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYgqIeUEtJgmzR3hj4NMHAFSORCh-4IjYKFD60n3XhOibRzXzlr1xumTeZybqxMQ7f4qHcVXS2pLdwWSZgOvbZcxpljQoH_8_LlYkdMS2zcxq203dx7mw-YwJNpbWzPDH4TB-gHMpoVTc=w92-h92-k-no,Harry's Bar Paris,"4,5",(2 913),10–20 €,Bar à cocktails,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYgqIeUEtJgmzR3hj4NMHAFSORCh-4IjYKFD60n3XhOibRzXzlr1xumTeZybqxMQ7f4qHcVXS2pLdwWSZgOvbZcxpljQoH_8_LlYkdMS2zcxq203dx7mw-YwJNpbWzPDH4TB-gHMpoVTc=w92-h92-k-no,Harry's Bar Paris,"4,5",(2 913),10–20 €,Bar à cocktails,·,,,
Ebis,,Fusion asiatique,20–60 €,20,60,40.0,nuageux,4.6,776,"Fusion asiatique, note 4.6/5, 776 avis, prix 20–60 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQOFtorYRrUM1XoZzhcUecMODelrR3yunAsaZ64_qRkGeGXIvo0zu6MfnSFbY2xEZuty9tOPdO66nJPPDbLwvfTOoXet6X8V4HVcTCD3P2l7Mzb8hf-TCG_WKtmTfcxO-VA5om=w163-h92-k-no,Ebis,"4,6",(776),20–60 €,Fusion asiatique,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQOFtorYRrUM1XoZzhcUecMODelrR3yunAsaZ64_qRkGeGXIvo0zu6MfnSFbY2xEZuty9tOPdO66nJPPDbLwvfTOoXet6X8V4HVcTCD3P2l7Mzb8hf-TCG_WKtmTfcxO-VA5om=w163-h92-k-no,Ebis,"4,6",(776),20–60 €,Fusion asiatique,·,,Note,Ajouter une note
L'Auberge Café,,,,,,,inconnu,4.0,148,"note 4.0/5, 148 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuG-vtJN-86YPAEg0mIIulOb3RJ0LE-M9tYPYvL-4PYNGcCQVZsvGu1BqEHKwoK2RPy3wY28MNibzJ52tCRDIb38f91ssCsQpWmkOBqOfGVVtdjO9IUUJBUhq6LFw6YklJV6qOlA=w174-h92-k-no,L'Auberge Café,"4,0",(148),,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuG-vtJN-86YPAEg0mIIulOb3RJ0LE-M9tYPYvL-4PYNGcCQVZsvGu1BqEHKwoK2RPy3wY28MNibzJ52tCRDIb38f91ssCsQpWmkOBqOfGVVtdjO9IUUJBUhq6LFw6YklJV6qOlA=w174-h92-k-no,L'Auberge Café,"4,0",(148),,,,,Note,Ajouter une note
Tiger Tiger - Restaurant Chinois,,Chinoise,20–30 €,20,30,25.0,nuageux,4.7,3028,"Chinoise, note 4.7/5, 3028 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6OOFVZLXbL_3v-Gy0GmhGFMEtSjjd2LF9Rio5tJlHJRswRH2ZbVm2BgayWVTnilGht-8Y7K4ApfpQuNKzvRnWnV08oSMG8iVCxC37jDwNaTzB1fgOc78eF1wt8_HgNJOj7H8Sjg=w138-h92-k-no,Tiger Tiger - Restaurant Chinois,"4,7",(3 028),20–30 €,Chinoise,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6OOFVZLXbL_3v-Gy0GmhGFMEtSjjd2LF9Rio5tJlHJRswRH2ZbVm2BgayWVTnilGht-8Y7K4ApfpQuNKzvRnWnV08oSMG8iVCxC37jDwNaTzB1fgOc78eF1wt8_HgNJOj7H8Sjg=w138-h92-k-no,Tiger Tiger - Restaurant Chinois,"4,7",(3 028),20–30 €,Chinoise,·,,,
Bar Herbarium,,Bar,10–20 €,10,20,15.0,pluie,4.4,68,"Bar, note 4.4/5, 68 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,basse_a_verifier,0,,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEywiJW2pWZJ5cmSIoyxxa4O3MjspETOvFx39T-tQKUTfwYQzoSF8yQjOX8BW_yteSPgfhNdRqhGb3RF191zyR9Ft-gmbOeYNrqARbGiQBBp0TZ5weV_qblBRFCxa312ozpuxpPNKdWdL38=w163-h92-k-no,Bar Herbarium,"4,4",(68),10–20 €,Bar,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEywiJW2pWZJ5cmSIoyxxa4O3MjspETOvFx39T-tQKUTfwYQzoSF8yQjOX8BW_yteSPgfhNdRqhGb3RF191zyR9Ft-gmbOeYNrqARbGiQBBp0TZ5weV_qblBRFCxa312ozpuxpPNKdWdL38=w163-h92-k-no,Bar Herbarium,"4,4",(68),10–20 €,Bar,·,,,
Bistrot Victoires,,Bistro,20–30 €,20,30,25.0,nuageux,4.4,7244,"Bistro, note 4.4/5, 7244 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMft7DhoHtfkZnD4WAwJufcVfW4n2ablYUXQJJHcmq2isJBrWUwglfA5dvk6r4MwWE_31zBeskCxYY7kEsbDT-wLYIwqDshhmkaw2JZP914V_8gUTK_MVo65neOcI1IXspxrOe=w122-h92-k-no,Bistrot Victoires,"4,4",(7 244),20–30 €,Bistro,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMft7DhoHtfkZnD4WAwJufcVfW4n2ablYUXQJJHcmq2isJBrWUwglfA5dvk6r4MwWE_31zBeskCxYY7kEsbDT-wLYIwqDshhmkaw2JZP914V_8gUTK_MVo65neOcI1IXspxrOe=w122-h92-k-no,Bistrot Victoires,"4,4",(7 244),20–30 €,Bistro,·,,,
Kokekokko Karaoke Bar,,Bar karaoké,10–20 €,10,20,15.0,pluie,4.4,445,"Bar karaoké, note 4.4/5, 445 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAECAhQjtUvohUeOmoDEW4SQtd1MckaevTvnM7eN5CgFAhEU1ksUnAADTIO-iOYYArVm119kGP8SMuWgdvAD4UH8gCw6e4p6NI9FOmd6CaCcgnNm-anMcRE9vZfTK568KfFt5XNB=w138-h92-k-no,Kokekokko Karaoke Bar,"4,4",(445),10–20 €,Bar karaoké,https://lh3.googleusercontent.com/gps-cs-s/APNQkAECAhQjtUvohUeOmoDEW4SQtd1MckaevTvnM7eN5CgFAhEU1ksUnAADTIO-iOYYArVm119kGP8SMuWgdvAD4UH8gCw6e4p6NI9FOmd6CaCcgnNm-anMcRE9vZfTK568KfFt5XNB=w138-h92-k-no,Kokekokko Karaoke Bar,"4,4",(445),10–20 €,Bar karaoké,·,,,
BRASSERIE LE TAMBOUR,,Restaurant,10–30 €,10,30,20.0,pluie,4.1,2767,"Restaurant, note 4.1/5, 2767 avis, prix 10–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkd4qsuf_IDfVe3pB0jr0JFKZtM6Us-oiFrsWzgzwoW118OUokmA3MPcc92Q1Dcsc2H_06BPlzh1lIZKg0FCUZ1v2Y2WeeHZc3aDRk5zcN4tVT65GMhvINWNvioqVL0cco-wdSkPT4WUSs=w137-h92-k-no,BRASSERIE LE TAMBOUR,"4,1",(2 767),10–30 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkd4qsuf_IDfVe3pB0jr0JFKZtM6Us-oiFrsWzgzwoW118OUokmA3MPcc92Q1Dcsc2H_06BPlzh1lIZKg0FCUZ1v2Y2WeeHZc3aDRk5zcN4tVT65GMhvINWNvioqVL0cco-wdSkPT4WUSs=w137-h92-k-no,BRASSERIE LE TAMBOUR,"4,1",(2 767),10–30 €,Restaurant,·,,Note,Ajouter une note
Balou Paris 3,,Bar à tapas,10–20 €,10,20,15.0,pluie,4.7,4901,"Bar à tapas, note 4.7/5, 4901 avis, prix 10–20 €",ouvert_probable,a verifier (potentiellement saisonnier),public,,,1,haute,0,,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7hIswkjloqa4kwyyQg2MDeUhpmhJOnt0dvkZNfIfnBEgHCLK2KNmkp8D11PSz_scHh8jFJu0WR6jLtto1vFf_rg6JTuktiiLioxCSez8edtP_k5ptl4lWbWcOVRRsYAPT06ot=w137-h92-k-no,Balou Paris 3,"4,7",(4 901),10–20 €,Bar à tapas,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG7hIswkjloqa4kwyyQg2MDeUhpmhJOnt0dvkZNfIfnBEgHCLK2KNmkp8D11PSz_scHh8jFJu0WR6jLtto1vFf_rg6JTuktiiLioxCSez8edtP_k5ptl4lWbWcOVRRsYAPT06ot=w137-h92-k-no,Balou Paris 3,"4,7",(4 901),10–20 €,Bar à tapas,·,,,
The Highlander Pub,,Pub,10–20 €,10,20,15.0,pluie,4.5,2523,"Pub, note 4.5/5, 2523 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLsPtjzWGkKS98WkT3oIrbNzsKCsAvH5oPs9ebM7V4b1ofk3cPCkjvwH31Y4W4i8RqsAc1k-c7Xwwlygo2tSHs_zqVs2TPZO71l4aEi-Wxn5eEAM1h1g0EB4MnLdlVZJnzijtW-Q=w125-h92-k-no,The Highlander Pub,"4,5",(2 523),10–20 €,Pub,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLsPtjzWGkKS98WkT3oIrbNzsKCsAvH5oPs9ebM7V4b1ofk3cPCkjvwH31Y4W4i8RqsAc1k-c7Xwwlygo2tSHs_zqVs2TPZO71l4aEi-Wxn5eEAM1h1g0EB4MnLdlVZJnzijtW-Q=w125-h92-k-no,The Highlander Pub,"4,5",(2 523),10–20 €,Pub,·,,,
Bistrot d'Edmond Opéra,,Bistro,20–30 €,20,30,25.0,nuageux,3.8,1684,"Bistro, note 3.8/5, 1684 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOANihwhrv5RnCanx7MrqWtptX3B0ZPSzYHE52hgZ3V2CoFKmsZNKPTu7RvdT7NvknLJ8c2y-0ry0MXt8RAvjK3oGDO8Hb3G_-WUTnahBOivoJ5vNVYyRYf8VxirwCPDAFBYgUGrS-0GTT=w99-h92-k-no,Bistrot d'Edmond Opéra,"3,8",(1 684),20–30 €,Bistro,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOANihwhrv5RnCanx7MrqWtptX3B0ZPSzYHE52hgZ3V2CoFKmsZNKPTu7RvdT7NvknLJ8c2y-0ry0MXt8RAvjK3oGDO8Hb3G_-WUTnahBOivoJ5vNVYyRYf8VxirwCPDAFBYgUGrS-0GTT=w99-h92-k-no,Bistrot d'Edmond Opéra,"3,8",(1 684),20–30 €,Bistro,·,,,
Maison Lautrec,,Française,20–60 €,20,60,40.0,nuageux,4.4,1048,"Française, note 4.4/5, 1048 avis, prix 20–60 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwABE02Zh1hX1E8YhD3Tlu0ti6QGocoEojmEFMmlnCMYbJx_vbU0iBFx6NSqKey6tt2Polj3hOQsxWytBKr6Ki_MAHYd2yVpw3P-VHG8EhsLoKj7gYMR6XStppBeoSoywLlIpLdUmVpOXp=w80-h119-k-no,Maison Lautrec,"4,4",(1 048),20–60 €,Française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwABE02Zh1hX1E8YhD3Tlu0ti6QGocoEojmEFMmlnCMYbJx_vbU0iBFx6NSqKey6tt2Polj3hOQsxWytBKr6Ki_MAHYd2yVpw3P-VHG8EhsLoKj7gYMR6XStppBeoSoywLlIpLdUmVpOXp=w80-h119-k-no,Maison Lautrec,"4,4",(1 048),20–60 €,Française,·,,Note,Ajouter une note
Café Blanc,,Française,20–40 €,20,40,30.0,nuageux,4.3,2542,"Française, note 4.3/5, 2542 avis, prix 20–40 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMBqOxqBOVgnTr2tXlU3VkUUWZhqy_ZwKnvgK5ZySaGWNGm8P6SxkcF98hJfArLpuwHKYN8mlA4aQuQkMzRD0vHCk53hdhXaVs5EaSmJYh0fawc_frA-hFpG_fXd6YQjP_Iir_iRPktS8=w132-h92-k-no,Café Blanc,"4,3",(2 542),20–40 €,Française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMBqOxqBOVgnTr2tXlU3VkUUWZhqy_ZwKnvgK5ZySaGWNGm8P6SxkcF98hJfArLpuwHKYN8mlA4aQuQkMzRD0vHCk53hdhXaVs5EaSmJYh0fawc_frA-hFpG_fXd6YQjP_Iir_iRPktS8=w132-h92-k-no,Café Blanc,"4,3",(2 542),20–40 €,Française,·,,Note,Ajouter une note
Brasserie Dubillot,,Française,20–30 €,20,30,25.0,nuageux,4.7,10222,"Française, note 4.7/5, 10222 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3xQ0VkxcVaAuYaNrE4yf1pExMR5PpjcTP3aWWVPeGHQwtfD72NkbRrwrfa487O5bRjpjwvS2LbyVDfY2T__Qq7PKM25yntrtVpm5xPVciQpp6bBJ7Ug2MdlIOiqi0eRYg90VG=w122-h92-k-no,Brasserie Dubillot,"4,7",(10 222),20–30 €,Française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3xQ0VkxcVaAuYaNrE4yf1pExMR5PpjcTP3aWWVPeGHQwtfD72NkbRrwrfa487O5bRjpjwvS2LbyVDfY2T__Qq7PKM25yntrtVpm5xPVciQpp6bBJ7Ug2MdlIOiqi0eRYg90VG=w122-h92-k-no,Brasserie Dubillot,"4,7",(10 222),20–30 €,Française,·,,Note,Ajouter une note
Bar Hemingway,,Bar,30–90 €,30,90,60.0,grand soleil,4.5,776,"Bar, note 4.5/5, 776 avis, prix 30–90 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjjwYBITy89DuK9Jy3l02qccAQuK87xWMO_gniP25MC9NXq8RxoVJeQ-qfPsmO6uagvJDkgj_74144OCskydCjT3y9aktoDSY-1zLYbGKWO1-yqYePvqor-LwOkg2v-iv8CB8P=w137-h92-k-no,Bar Hemingway,"4,5",(776),30–90 €,Bar,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEjjwYBITy89DuK9Jy3l02qccAQuK87xWMO_gniP25MC9NXq8RxoVJeQ-qfPsmO6uagvJDkgj_74144OCskydCjT3y9aktoDSY-1zLYbGKWO1-yqYePvqor-LwOkg2v-iv8CB8P=w137-h92-k-no,Bar Hemingway,"4,5",(776),30–90 €,Bar,·,,Note,Ajouter une note
