nom,adresse_complete,type,prix,prix_min_eur,prix_max_eur,prix_moyen_eur,budget_meteo,note_google,avis_google,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,niveau_fiabilite,doublon_nom_potentiel,doublon_rang,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_eau,pour_nocturne,pour_disco,pour_guinguette,pour_terrasse_hiver,pour_street_food,meteo_pluie,meteo_nuageux,meteo_grand_soleil,source_base,date_traitement_gpt,verification_gpt,notes_gpt,image_url_originale,nom_original,rating_original,reviews_original,prix_original,type_original,raw_WkIe8 src,raw_fontHeadlineSmall,raw_MW4etd,raw_UY7F9,raw_IIrLbb,raw_IIrLbb 2,raw_ZiUbcb
Panozzi Marais,,,,,,,inconnu,4.6,609,"note 4.6/5, 609 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKpum-FOdvOBX1UC9sk5UJeiy-XiJPFOfRBFaQOlG0Vm5Dfolt0RAKx8tva0tHEuiRtgRiT9j9Le6s5bm10EPW79N0oc-HRbGcnLn0fRrGyV-dMt16TliGxk7Z1kvbHER8iZTW=w80-h106-k-no,Panozzi Marais,"4,6",(609),,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKpum-FOdvOBX1UC9sk5UJeiy-XiJPFOfRBFaQOlG0Vm5Dfolt0RAKx8tva0tHEuiRtgRiT9j9Le6s5bm10EPW79N0oc-HRbGcnLn0fRrGyV-dMt16TliGxk7Z1kvbHER8iZTW=w80-h106-k-no,Panozzi Marais,"4,6",(609),,,
Aji Dulce Restaurant Venezuelien,,Restaurant,10–20 €,10,20,15.0,pluie,4.7,2807,"Restaurant, note 4.7/5, 2807 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQCwqmzZmrUUPTy6FLFd-P2W8czkcSq5JXw0sNj8ChFpkt6oO1o0YsBrrC0LvwOME1qeA0IjtPfkc6sQJAnYMMcLc3X8Mmq_ZvrrcVMpHREUowAEJbftjynMQ0ANWete-7ezsIC3tGGMg=w92-h92-k-no,Aji Dulce Restaurant Venezuelien,"4,7",(2 807),10–20 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQCwqmzZmrUUPTy6FLFd-P2W8czkcSq5JXw0sNj8ChFpkt6oO1o0YsBrrC0LvwOME1qeA0IjtPfkc6sQJAnYMMcLc3X8Mmq_ZvrrcVMpHREUowAEJbftjynMQ0ANWete-7ezsIC3tGGMg=w92-h92-k-no,Aji Dulce Restaurant Venezuelien,"4,7",(2 807),10–20 €,Restaurant,·
228 Litres,,Bar à vin,40–80 €,40,80,60.0,grand soleil,4.7,792,"Bar à vin, note 4.7/5, 792 avis, prix 40–80 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0s0Mbs401hv9gwzD68xMJOAfzlD_o4X0HiIlcJx5agQ7YChngkkfav7KMcEqp4gdg75RjwcL-71fK7qD9VvXgbLUKZxopR3eU2Iso_xtdAFyM9aBc4JVooY4isJOMBlC1PHN2iQ=w138-h92-k-no,228 Litres,"4,7",(792),40–80 €,Bar à vin,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE0s0Mbs401hv9gwzD68xMJOAfzlD_o4X0HiIlcJx5agQ7YChngkkfav7KMcEqp4gdg75RjwcL-71fK7qD9VvXgbLUKZxopR3eU2Iso_xtdAFyM9aBc4JVooY4isJOMBlC1PHN2iQ=w138-h92-k-no,228 Litres,"4,7",(792),40–80 €,Bar à vin,·
Bombance,,Restaurant,,,,,inconnu,4.8,1018,"Restaurant, note 4.8/5, 1018 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvIptDLTrWn-EBJBdj1JiRLZF8ynponXI-aa_3ISs_vSAiaWNvF-IbWnWQtYD6lFdLFT4M4tA8YQX9LVahNX1cidsDEcZOhPfUOWZ1yDKxLRRJ38qcNio-oI_UyHQMvacVV58V6g=w123-h92-k-no,Bombance,"4,8",(1 018),Restaurant,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvIptDLTrWn-EBJBdj1JiRLZF8ynponXI-aa_3ISs_vSAiaWNvF-IbWnWQtYD6lFdLFT4M4tA8YQX9LVahNX1cidsDEcZOhPfUOWZ1yDKxLRRJ38qcNio-oI_UyHQMvacVV58V6g=w123-h92-k-no,Bombance,"4,8",(1 018),Restaurant,,
Floréal Belleville,,Restaurant,20–30 €,20,30,25.0,nuageux,4.2,858,"Restaurant, note 4.2/5, 858 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyqPluIo0l0k-ywXHnMXyyIq4k2o55xRBPny7KwYC9lNAXWXFnPM3upiRtCVQfZZR7t3tqOiw03wgTx6UHXyek_hRcn8m_U3IIJMeso0__ToklBLiDPSW8q4vckQFPwP2fOt3E=w138-h92-k-no,Floréal Belleville,"4,2",(858),20–30 €,Restaurant,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGyqPluIo0l0k-ywXHnMXyyIq4k2o55xRBPny7KwYC9lNAXWXFnPM3upiRtCVQfZZR7t3tqOiw03wgTx6UHXyek_hRcn8m_U3IIJMeso0__ToklBLiDPSW8q4vckQFPwP2fOt3E=w138-h92-k-no,Floréal Belleville,"4,2",(858),20–30 €,Restaurant,·
Le Grand Véfour,,Française,+ de 100 €,100,,100,grand soleil,4.4,1473,"Française, note 4.4/5, 1473 avis, prix + de 100 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwncVBMTo58SFCi3GGdqXmdRnoxAATDcYtRLfMMaKJ1C4aBdFjJAhub3WDiSA4eFI5GECHBGNAS56NuYpE64OGnd3r8FhdGJ0GEv7A4hOxCACIfn7XSmBzt1bgL0IraoFDjNqkBQbA9i0=w137-h92-k-no,Le Grand Véfour,"4,4",(1 473),+ de 100 €,Française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFwncVBMTo58SFCi3GGdqXmdRnoxAATDcYtRLfMMaKJ1C4aBdFjJAhub3WDiSA4eFI5GECHBGNAS56NuYpE64OGnd3r8FhdGJ0GEv7A4hOxCACIfn7XSmBzt1bgL0IraoFDjNqkBQbA9i0=w137-h92-k-no,Le Grand Véfour,"4,4",(1 473),+ de 100 €,Française,·
Popine Sacré Coeur,,Pizza,20–30 €,20,30,25.0,nuageux,4.4,1649,"Pizza, note 4.4/5, 1649 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF294AD_I_Ha3zgw2HsyWjO_RrS6WsVxaoyArQNFFbTV23sAP24G_G5bQMvBgU4Sc-L1RnBjePVaq1ViKOvXaIjrB34fpJEIn9eUBS6UC_1fqmlQhT0IoUls3az439QxgJgWjc_=w80-h100-k-no,Popine Sacré Coeur,"4,4",(1 649),20–30 €,Pizza,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF294AD_I_Ha3zgw2HsyWjO_RrS6WsVxaoyArQNFFbTV23sAP24G_G5bQMvBgU4Sc-L1RnBjePVaq1ViKOvXaIjrB34fpJEIn9eUBS6UC_1fqmlQhT0IoUls3az439QxgJgWjc_=w80-h100-k-no,Popine Sacré Coeur,"4,4",(1 649),20–30 €,Pizza,·
La Caserne - incubateur mode responsable,,Entreprise de couture,,,,,inconnu,3.7,102,"Entreprise de couture, note 3.7/5, 102 avis",ouvert_probable,non renseigne,public,,,0,exclu_qualite_ou_donnees_insuffisantes,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEkFd174lJqbjRwq2DEwWtcdah2rk87C3pLbe4kUn1GWoVJiwYi83y5dc6qsy5bnovr086WabKcyXq-h_e4cxAhTbtGScEPf48eFhyzej87Er6QDBX6ZbpqBODTeB02hsdBRI2y=w92-h92-k-no,La Caserne - incubateur mode responsable,"3,7",(102),Entreprise de couture,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEkFd174lJqbjRwq2DEwWtcdah2rk87C3pLbe4kUn1GWoVJiwYi83y5dc6qsy5bnovr086WabKcyXq-h_e4cxAhTbtGScEPf48eFhyzej87Er6QDBX6ZbpqBODTeB02hsdBRI2y=w92-h92-k-no,La Caserne - incubateur mode responsable,"3,7",(102),Entreprise de couture,,
Le Petit Moulin,,Française,20–30 €,20,30,25.0,nuageux,4.6,511,"Française, note 4.6/5, 511 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeyvhjnC3VjazXycHx8kO_L213Wd0t3Pc2rrcaoGuxo65ecujlRoF_5CPk4jH5CzMtAQ6GNK_5_zc7rq7hs1mlY3kHVIfaffXJ30nVfUvqc_mH89zAyy40xFDjdDFa4jk83eUAPrh6o1A8=w122-h92-k-no,Le Petit Moulin,"4,6",(511),20–30 €,Française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGeyvhjnC3VjazXycHx8kO_L213Wd0t3Pc2rrcaoGuxo65ecujlRoF_5CPk4jH5CzMtAQ6GNK_5_zc7rq7hs1mlY3kHVIfaffXJ30nVfUvqc_mH89zAyy40xFDjdDFa4jk83eUAPrh6o1A8=w122-h92-k-no,Le Petit Moulin,"4,6",(511),20–30 €,Française,·
Le Replat de Montmartre,,Française,20–30 €,20,30,25.0,nuageux,4.7,304,"Française, note 4.7/5, 304 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuRu04ezcWKARQHnmDfBtTE_MyhlIYABkuRVkjMdlk3_29kiCk9oHdGI80Mzhu8us_m5sDj1YzwWEcpnbGKXP2oDLOjWAZTMc_5WzRcLeCiXxJhG1oIo7Z1FgKlOlJG87XuDy0sexYBgua=w80-h106-k-no,Le Replat de Montmartre,"4,7",(304),20–30 €,Française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFuRu04ezcWKARQHnmDfBtTE_MyhlIYABkuRVkjMdlk3_29kiCk9oHdGI80Mzhu8us_m5sDj1YzwWEcpnbGKXP2oDLOjWAZTMc_5WzRcLeCiXxJhG1oIo7Z1FgKlOlJG87XuDy0sexYBgua=w80-h106-k-no,Le Replat de Montmartre,"4,7",(304),20–30 €,Française,·
Bouillon Julien,,Brasserie,20–30 €,20,30,25.0,nuageux,4.1,10454,"Brasserie, note 4.1/5, 10454 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEL2h0G1KGPVNqgC8GcGjXu1e137l5UxcsUQsP3MGFqjJpl62hnBD2nTI1_TWS35HRPvVbYWrehyJEBE8H-ZwPr--oy9biqO-NQv06ZpLf595xaDw0YphjObnAsCGxLJXtdF_iOqsJWrcVL=w80-h106-k-no,Bouillon Julien,"4,1",(10 454),20–30 €,Brasserie,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEL2h0G1KGPVNqgC8GcGjXu1e137l5UxcsUQsP3MGFqjJpl62hnBD2nTI1_TWS35HRPvVbYWrehyJEBE8H-ZwPr--oy9biqO-NQv06ZpLf595xaDw0YphjObnAsCGxLJXtdF_iOqsJWrcVL=w80-h106-k-no,Bouillon Julien,"4,1",(10 454),20–30 €,Brasserie,·
Café Madam,,Café,1–10 €,1,10,5.5,pluie,4.2,263,"Café, note 4.2/5, 263 avis, prix 1–10 €",ouvert_probable,non renseigne,public,,,1,moyenne,0,,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBzQClM-E0yngFeIE6oVsjdGZkdHmvFNaj31fDDmkBRsUAorWdMWxeT5yIYdT_KTVpQyUSG2WBrOKoC1uQl3ugobfwSI5axUrhCBMYMc4mC7YTVFvYIyBflqCXaeR3KI6igduzQA=w80-h106-k-no,Café Madam,"4,2",(263),1–10 €,Café,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHBzQClM-E0yngFeIE6oVsjdGZkdHmvFNaj31fDDmkBRsUAorWdMWxeT5yIYdT_KTVpQyUSG2WBrOKoC1uQl3ugobfwSI5axUrhCBMYMc4mC7YTVFvYIyBflqCXaeR3KI6igduzQA=w80-h106-k-no,Café Madam,"4,2",(263),1–10 €,Café,·
Campelli,,Gastronomie française,+ de 100 €,100,,100,grand soleil,4.8,514,"Gastronomie française, note 4.8/5, 514 avis, prix + de 100 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_j4zIJeZLBy1dV3eApWEcN2cG01t8lja1erKo8rbaZNylemvr6gJwttbVdCVUl2u5HBOUgY3KqSF7ToNs3QmXqqN09aqpIJLnxR4XMw5FnHwKhRcOsBtKNtqPc0S5K0iBRQMNcBZ1HgNo=w184-h92-k-no,Campelli,"4,8",(514),+ de 100 €,Gastronomie française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_j4zIJeZLBy1dV3eApWEcN2cG01t8lja1erKo8rbaZNylemvr6gJwttbVdCVUl2u5HBOUgY3KqSF7ToNs3QmXqqN09aqpIJLnxR4XMw5FnHwKhRcOsBtKNtqPc0S5K0iBRQMNcBZ1HgNo=w184-h92-k-no,Campelli,"4,8",(514),+ de 100 €,Gastronomie française,·
BOBBY,,Italienne,20–30 €,20,30,25.0,nuageux,4.8,2079,"Italienne, note 4.8/5, 2079 avis, prix 20–30 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGehVWdJj4jlZpH6JTJ5DGhf4IWJ9o2qijO8JHHri1EHojKpB7Hy8vSLZD5uLKHQZfOHabWqz3hgpHbHWPUyJd7a7xxtAGXayRaYzO3nKQZa77OR-LoSXJRDXlMq_kLqdI3YFfUTnFLkRHz=w80-h106-k-no,BOBBY,"4,8",(2 079),20–30 €,Italienne,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGehVWdJj4jlZpH6JTJ5DGhf4IWJ9o2qijO8JHHri1EHojKpB7Hy8vSLZD5uLKHQZfOHabWqz3hgpHbHWPUyJd7a7xxtAGXayRaYzO3nKQZa77OR-LoSXJRDXlMq_kLqdI3YFfUTnFLkRHz=w80-h106-k-no,BOBBY,"4,8",(2 079),20–30 €,Italienne,·
Maison Jaune,,Française,40–80 €,40,80,60.0,grand soleil,4.5,859,"Française, note 4.5/5, 859 avis, prix 40–80 €",ouvert_probable,non renseigne,sur reservation conseillee,,,1,haute,0,,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5Kxz1Y8jpHtF-zhCK4QIWog-utrWzTm2mJuACbI2SK8Ou-sbW0-ul6Cz_3901x6bE1HjSy7cMotewuGNCEhMeo4ofWdlsTzw6RfUquDRyhZsOGTP5ehnfeZvENyuIxokUW4tIFdfI_NFz=w80-h119-k-no,Maison Jaune,"4,5",(859),40–80 €,Française,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH5Kxz1Y8jpHtF-zhCK4QIWog-utrWzTm2mJuACbI2SK8Ou-sbW0-ul6Cz_3901x6bE1HjSy7cMotewuGNCEhMeo4ofWdlsTzw6RfUquDRyhZsOGTP5ehnfeZvENyuIxokUW4tIFdfI_NFz=w80-h119-k-no,Maison Jaune,"4,5",(859),40–80 €,Française,·
Comptoir Breizh,,Crêperie,,,,,inconnu,4.0,686,"Crêperie, note 4.0/5, 686 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAELl8AZIateAiEaHQ_JPreHAKsz8D9RT2QP9rJ74V4rHnuIUKHCtS4gjZ7cvMRXEd7rY6OQt465DhuZ31xuZn_HRjFYzbrJx5P04_ydJcitepT_k1e-Hzew1jMbG87_OfQERcvY=w103-h92-k-no,Comptoir Breizh,"4,0",(686),Crêperie,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAELl8AZIateAiEaHQ_JPreHAKsz8D9RT2QP9rJ74V4rHnuIUKHCtS4gjZ7cvMRXEd7rY6OQt465DhuZ31xuZn_HRjFYzbrJx5P04_ydJcitepT_k1e-Hzew1jMbG87_OfQERcvY=w103-h92-k-no,Comptoir Breizh,"4,0",(686),Crêperie,,
Ayutthaya Restaurant Thaïlandais,,,,,,,inconnu,4.6,278,"note 4.6/5, 278 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHg8urTX0lQIpw6oDOtYh1y4NNyzn77svgsQeJyzXnLx4Vxq4H4z04MlsZQWp3R_0MoGzKQoGLLw6mja2KAW8Uy9UqMWfuNIc8dIDfl3aHBbZhtfOjDlKT7pbztDDibXrYjJ2v47B_pG39T=w163-h92-k-no,Ayutthaya Restaurant Thaïlandais,"4,6",(278),,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHg8urTX0lQIpw6oDOtYh1y4NNyzn77svgsQeJyzXnLx4Vxq4H4z04MlsZQWp3R_0MoGzKQoGLLw6mja2KAW8Uy9UqMWfuNIc8dIDfl3aHBbZhtfOjDlKT7pbztDDibXrYjJ2v47B_pG39T=w163-h92-k-no,Ayutthaya Restaurant Thaïlandais,"4,6",(278),,,
Paperboy Paris,,Brunch,10–20 €,10,20,15.0,pluie,4.4,1079,"Brunch, note 4.4/5, 1079 avis, prix 10–20 €",ouvert_probable,non renseigne,public,,,1,haute,0,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgzx802ZvNJF8O0QTMrunYV6cH2Dc5WcY81jU5x9gbNbfDFDTj_xYznw3fzogeUiZ1uXyOeCiZsoqafYu06uAs-ZjbPY-JLK9nbLfh2YUqiaeizbAezSmmqc2ftKbGe6T9Qum4hw=w122-h92-k-no,Paperboy Paris,"4,4",(1 079),10–20 €,Brunch,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgzx802ZvNJF8O0QTMrunYV6cH2Dc5WcY81jU5x9gbNbfDFDTj_xYznw3fzogeUiZ1uXyOeCiZsoqafYu06uAs-ZjbPY-JLK9nbLfh2YUqiaeizbAezSmmqc2ftKbGe6T9Qum4hw=w122-h92-k-no,Paperboy Paris,"4,4",(1 079),10–20 €,Brunch,·
L'Escarboucle - Bar à Papilles,,,,,,,inconnu,4.7,133,"note 4.7/5, 133 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3AtGon2zXekrZWUMxtkNH9BRmNhz5-q17gX2Cy0Y8U490T2Cvw_4cf9PD7mXJcmqIIHC6LcjqDYFnoiW-qLtcrNTzVGcC8QyxBmclOUdf3rIL_IKFBfh0dxBvEVfw4Bt6mAetoA=w163-h92-k-no,L'Escarboucle - Bar à Papilles,"4,7",(133),,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3AtGon2zXekrZWUMxtkNH9BRmNhz5-q17gX2Cy0Y8U490T2Cvw_4cf9PD7mXJcmqIIHC6LcjqDYFnoiW-qLtcrNTzVGcC8QyxBmclOUdf3rIL_IKFBfh0dxBvEVfw4Bt6mAetoA=w163-h92-k-no,L'Escarboucle - Bar à Papilles,"4,7",(133),,,
Café du Palais de Tokyo,,Cafétéria,1–10 €,1,10,5.5,pluie,4.6,692,"Cafétéria, note 4.6/5, 692 avis, prix 1–10 €",ouvert_probable,non renseigne,public,,,1,haute,0,,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPyk9sZxMlYss1pvEis8ejuZni06OcB80jRsOb3NS1gsrz7CFkvSh7zF7ZDA5ZxI2n0fuJ3hLl04Y1RDTcoWnyLmnLO7ESPgU7Ryddlzwusk0Sxg5IuOwEsDgZCv8JbUo38xg5=w137-h92-k-no,Café du Palais de Tokyo,"4,6",(692),1–10 €,Cafétéria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPyk9sZxMlYss1pvEis8ejuZni06OcB80jRsOb3NS1gsrz7CFkvSh7zF7ZDA5ZxI2n0fuJ3hLl04Y1RDTcoWnyLmnLO7ESPgU7Ryddlzwusk0Sxg5IuOwEsDgZCv8JbUo38xg5=w137-h92-k-no,Café du Palais de Tokyo,"4,6",(692),1–10 €,Cafétéria,·
Petite fleur,,,,,,,inconnu,4.7,443,"note 4.7/5, 443 avis",ouvert_probable,non renseigne,public,,,1,moyenne,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,export Google Maps fourni par utilisateur,2026-06-14,semi-auto: prix/note/statut depuis export Google; verification web live conseillee avant publication prod,prix_moyen_absent_dans_export ; adresse_absente_a_geocoder ; presence note/prix/type dans export Google; verifier live avant publication,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_Yk89mh7_Zq_Nts7mZXNzqu1eD8EdN1nAqtedcxzsoLD0f-rGsgkW8SNt-XlGkhOsYRhZSoNwLLV3rN3psVxXYc2mEjhPOH1vpGF8cQ0Zy5KD3UlP5C1PtGGwibSeVj7fXpNaWQ=w163-h92-k-no,Petite fleur,"4,7",(443),,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG_Yk89mh7_Zq_Nts7mZXNzqu1eD8EdN1nAqtedcxzsoLD0f-rGsgkW8SNt-XlGkhOsYRhZSoNwLLV3rN3psVxXYc2mEjhPOH1vpGF8cQ0Zy5KD3UlP5C1PtGGwibSeVj7fXpNaWQ=w163-h92-k-no,Petite fleur,"4,7",(443),,,
