nom;adresse_complete;ville;arrondissement_ou_departement;type;categorie_worldcup_2026;prix_indicatif;prix_moyen_eur_pers;budget_meteo;description_courte;statut;saisonnier;periode_worldcup_2026;acces;source_recommandation;source_url;source_statut_ouverture;date_verification_gpt;fiabilite_1_5;inclure_app;raison_exclusion_si_0;notes_gpt;lat;lng;avec_solo;avec_duo;avec_potos;avec_pro;pour_tranquillo;pour_allocco;pour_resto;pour_gastro;pour_incognito;pour_apero;pour_disco;pour_nocturne;pour_eau;pour_street_food;pour_guinguette;terrasse_hiver;pour_football;pour_worldcup_2026;fan_zone;ecran_geant;famille;gratuit_ou_entree_libre;reservation_recommandee;matchs_france_seulement;tous_matchs_ou_large_prog;officiel_sponsor;plein_air;sponsor_partenaire
The Blossom Arms;17 Rue Guy Môquet, 75017 Paris;Paris;17e;english pub / seafood;pub/restaurant;20-30 €;25;nuageux;"Pub britannique récent et très bien noté, Guinness, seafood pub; diffusion à confirmer match par match.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Sortir à Paris + business ouvert;https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/175503-bars-pubs-broadcast-matches-paris;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Great Canadian Pub;25 Quai des Grands Augustins, 75006 Paris;Paris;6e;pub canadien / sport;bar/pub;10-20 €;20;nuageux;Pub canadien central sur la Seine, bon pour match entre potes et ambiance expat.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Hotels.com sports bars + business ouvert;https://it.hotels.com/go/france/best-sports-bars-paris;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Bowler;13 Rue d'Artois, 75008 Paris;Paris;8e;english pub / sports bar;bar/pub;10-20 €;20;nuageux;Pub anglais avec grands écrans, fléchettes, burgers, bien situé Champs-Élysées.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Hotels.com sports bars + business ouvert;https://it.hotels.com/go/france/best-sports-bars-paris;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Pub Saint-Hilaire;2 Rue Valette, 75005 Paris;Paris;5e;pub sportif;bar/pub;10-20 €;18;nuageux;Pub du Quartier latin, sports bar classique, bon pour petit budget et nocturne ponctuel.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Hotels.com sports bars + business ouvert;https://it.hotels.com/go/france/best-sports-bars-paris;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Galway Irish Pub;13 Quai des Grands Augustins, 75006 Paris;Paris;6e;irish pub sportif;bar/pub;10-20 €;20;nuageux;Irish pub face Seine/Notre-Dame, jusqu'à 9 écrans selon LiberoGuide, fermeture tardive certains soirs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;LiberoGuide + business ouvert;https://liberoguide.com/10-best-football-bars-in-paris/;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Auld Alliance;80 Rue François Miron, 75004 Paris;Paris;4e;scottish pub;bar/pub;10-20 €;20;nuageux;"Pub écossais central, live sports et ambiance expat; bon pour nations UK/Scotland.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Business ouvert + guide pubs;https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/175503-bars-pubs-broadcast-matches-paris;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Frog & Princess;9 Rue Princesse, 75006 Paris;Paris;6e;brewpub / sports bar;bar/pub;10-20 €;20;nuageux;FrogPubs rive gauche, live sport, craft beer, burgers et ambiance pub anglais.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;FrogPubs officiel + business ouvert;https://frogpubs.com/whats-on/;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Frog Hop House;10 Rue des Capucines, 75002 Paris;Paris;2e;brewpub / sports bar;bar/pub;20-30 €;25;nuageux;FrogPubs Opéra, live sport et craft beer, plus central/pro que d'autres pubs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;FrogPubs officiel + business ouvert;https://frogpubs.com/whats-on/;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Frog XVI;110 bis Avenue Kléber, 75016 Paris;Paris;16e;brewpub / sports bar;bar/pub;10-20 €;20;nuageux;"FrogPubs Trocadéro, sports bar élégant et spacieux; bon pour groupes/pro informel.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;FrogPubs officiel + Fanzo + business ouvert;https://frogpubs.com/whats-on/ | https://www.fanzo.com/fr/bar/108640/frog-xvi;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Frog & Rosbif;116 Rue Saint-Denis, 75002 Paris;Paris;2e;brewpub historique / sports;bar/pub;20-30 €;25;nuageux;Premier brewpub Frog, live sports dont football, Premier League et grands matchs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;FrogPubs officiel + guide sports bars;https://frogpubs.com/our-pubs/the-frog-rosbif-pub-paris/ | https://frogpubs.com/whats-on/;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Pub;4 Rue Caron, 75004 Paris;Paris;4e;pub sportif compact;bar/pub;10-20 €;18;nuageux;"Petit pub très bien noté, connu des amateurs de foot; réserver ou venir tôt.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;LiberoGuide + business ouvert;https://liberoguide.com/10-best-football-bars-in-paris/;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Harp Bar;118 Boulevard de Clichy, 75018 Paris;Paris;18e;irish sports pub;bar/pub;10-20 €;18;nuageux;"Petit pub sport à Clichy/Blanche, très bon mais capacité limitée; venir tôt.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;LiberoGuide + business ouvert;https://liberoguide.com/10-best-football-bars-in-paris/;business ouvert + source de recommandation;2026-06-14;4;1;;Réserver pour France, finales et matchs de nuit.;;;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Lush Bar;16 Rue des Dames, 75017 Paris;Paris;17e;irish pub / Liverpool spot;bar/pub;1-30 €;18;nuageux;Pub sportif historique côté Liverpool, petit format, fléchettes et ambiance expat.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;LiberoGuide + business ouvert;https://liberoguide.com/10-best-football-bars-in-paris/;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Hideout Paris Gare du Nord;8 Boulevard de Denain, 75010 Paris;Paris;10e;pub / live sports;bar/pub;pinte env. 6,50-7,50 €;18;nuageux;"Pub près de Gare du Nord, live sports, happy hour; utile pour matchs tardifs.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;LiberoGuide + Tripadvisor/MisterGoodBeer + Instagram lieu;https://liberoguide.com/10-best-football-bars-in-paris/ | https://www.tripadvisor.com/Restaurant_Review-g187147-d4374408-Reviews-The_Hideout_Paris_Gare_du_Nord-Paris_Ile_de_France.html;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
The Coq & Bulldog;64 Rue de Clichy, 75009 Paris;Paris;9e;english pub;bar/pub;pinte HH env. 5,50 €;18;nuageux;"Pub anglo-français, football passion, petite capacité; horaires 17h-2h.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;LiberoGuide + Privateaser + pages lieu;https://liberoguide.com/10-best-football-bars-in-paris/ | https://www.privateaser.com/lieu/39984-the-coq-bulldog;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;0;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
O'Sullivans Franklin D. Roosevelt;63 Avenue Franklin Delano Roosevelt, 75008 Paris;Paris;8e;irish pub / club;bar sportif nocturne;10-30 €;25;nuageux;Grand pub irlandais proche Champs-Élysées, sports bar et club jusqu'à très tard.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Business ouvert + sports bar;https://www.fanzo.com/fr/bars;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Corcoran's Grands Boulevards;23 Boulevard Poissonnière, 75002 Paris;Paris;2e;irish pub / night bar;bar sportif nocturne;10-20 €;20;nuageux;Grand pub irlandais, horaires très tardifs, utile pour matchs de nuit.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Business ouvert + réseau Corcoran's;https://www.craicmap.ie/;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Corcoran's Sacré-Cœur;9-11 Rue Foyatier, 75018 Paris;Paris;18e;irish pub / sports bar;bar sportif nocturne;10-20 €;20;nuageux;Pub irlandais à Montmartre, sports bar, live music/night club et horaires tardifs.;ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Business ouvert;https://www.craicmap.ie/;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Stany's;40 Rue d'Enghien, 75010 Paris;Paris;10e;bar groupe / match;bar réservation;10-20 €;20;nuageux;"Bar bien noté et référencé pour premier match des Bleus; confirmation match par match nécessaire.";ouvert confirmé / vérifier programmation du match précis;non;toute l'année + programmation Coupe du Monde à vérifier;public / réservation recommandée pour grands matchs;Privateaser 2026 + business ouvert;https://www.privateaser.com/lieu/40836-stanys;business ouvert + source de recommandation;2026-06-14;3;1;;Réserver pour France, finales et matchs de nuit.;;;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Bal Rock;161 Rue Montmartre, 75002 Paris;Paris;2e;bar/club avec écrans;bar sportif nocturne;variable;25;nuageux;Très grand parc d'écrans annoncé, mais avis récents trop faibles pour recommandation app.;ouvert;non;toute l'année + programmation Coupe du Monde à vérifier;public;Hotels.com + business ouvert;https://it.hotels.com/go/france/best-sports-bars-paris;business ouvert;2026-06-14;2;0;Exclu car note business trop basse (~2,9/5). À garder en back-office seulement.;Exclu car note business trop basse (~2,9/5). À garder en back-office seulement.;;;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Café Oz Rooftop;34 Quai d'Austerlitz, Cité de la Mode et du Design, 75013 Paris;Paris;13e;rooftop bar/club avec retransmissions;bar/club sportif;variable;25;nuageux;Rooftop avec écrans géants et retransmissions sportives, mais avis trop faibles pour reco propre.;ouvert;non;toute l'année + programmation Coupe du Monde à vérifier;public / selon soirée;business description;;business ouvert;2026-06-14;2;0;Exclu car note business trop basse (~2,5/5) malgré retransmissions sportives.;Exclu car note business trop basse (~2,5/5) malgré retransmissions sportives.;;;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Café Oz Grands Boulevards;8 Boulevard Montmartre, 75009 Paris;Paris;9e;pub australien / club;bar/club sportif;10-20 €;20;nuageux;"Retransmissions sportives et horaires tardifs, mais notes moyennes; à ne pas pousser en priorité.";ouvert;non;toute l'année + programmation Coupe du Monde à vérifier;public;business description;;business ouvert;2026-06-14;2;0;Exclu ou faible priorité car note business moyenne (~3,3/5).;Exclu ou faible priorité car note business moyenne (~3,3/5).;;;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
Heure Sup';299 Rue Lecourbe, 75015 Paris;Paris;15e;bar sportif;bar sportif récent;à confirmer;;nuageux;Adresse Fanzo récente pour sport, mais pas assez d'avis/business fiables.;ouverture non vérifiée solidement;non;toute l'année + programmation Coupe du Monde à vérifier;à confirmer;Fanzo;https://www.fanzo.com/fr/bar/107822/sports-bar-heure-sup;business incomplet;2026-06-14;2;0;"Exclu jusqu'à vérification terrain/téléphone; pas assez de signal qualité.";"Exclu jusqu'à vérification terrain/téléphone; pas assez de signal qualité.";;;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;
