nom,adresse_complete,ville,arrondissement_ou_departement,type,categorie_surleau,prix_indicatif,prix_moyen_eur_pers,budget_meteo,description_courte,statut,saisonnier,periode_ouverture,acces,source_recommandation,source_url,source_statut_ouverture,date_verification_gpt,fiabilite_1_5,inclure_app,raison_exclusion_si_0,notes_gpt,lat,lng,avec_solo,avec_duo,avec_potos,avec_pro,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_disco,pour_nocturne,pour_eau,pour_street_food,pour_guinguette,terrasse_hiver,sur_eau,bord_eau,peniche,croisiere,bateau_a_quai,canal,seine,marne,vue_tour_eiffel
La Javelle Tavern,"5 Boulevard Poniatowski, 75012 Paris",Paris,12e,guinguette / bar / food / concerts,guinguette bord de Seine,10-20 €,15,pluie,"Guinguette végétalisée et festive à Bercy Beaucoup, food, concerts, DJ sets, ambiance bande.",ouvert / fiche établissement active,saisonnier fort,printemps-été surtout,public,Fiche établissement + guides guinguettes,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,4,1,,,,,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
Quai Sauvage,"Port de Bercy, Quai de Bercy, 75012 Paris",Paris,12e,terrasse / activités / bar,quai saisonnier,10-25 €,18,pluie,"Hotspot estival au Port de Bercy : programmation festive, sportive et culturelle au bord de Seine.",saison 2026 annoncée,saisonnier,à partir du 1er mai 2026,public / selon événements,Sortir à Paris,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,article 2026,2026-06-14,4,1,,,,,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0
Jardin21,"12a Rue Ella Fitzgerald, 75019 Paris",Paris,19e,bar jardin / food / événementiel,canal / guinguette,10-20 €,15,pluie,"Jardin festif près du canal de l’Ourcq : bar, food, ateliers, DJ sets et grande terrasse verte.",ouvert / fiche établissement active,saisonnier fort,printemps-été surtout,public,Fiche établissement + guides canal,https://www.jardin21.fr/,business ouvert,2026-06-14,4,1,,,,,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
Le Barboteur,"6 Rue Raymond Queneau, 93000 Bobigny",Bobigny,93,bar flottant / programmation musicale,canal / bar flottant,20-30 €,25,nuageux,"Bar flottant itinérant/au canal avec programmation musicale, ambiance été Grand Paris.",ouvert selon saison/programme,saisonnier,samedi / événements selon calendrier,public / vérifier calendrier,Sortir à Paris + fiche établissement,https://www.lebarboteur.com/ | https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business actif,2026-06-14,3,1,,Grand Paris et programmation irrégulière : ne pas pousser sans vérifier la date.,,,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0
Wanderlust,"32 Quai d’Austerlitz, 75013 Paris",Paris,13e,club / bar / terrasse,terrasse bord de Seine,10-50 €,30,nuageux,"Grande terrasse électro au bord de Seine, reconnue mais avis très faibles : à utiliser avec prudence.",ouvert / fiche établissement active,saisonnier fort,toute l’année + été,public / billetterie soirées,Sortir à Paris + fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,2,0,Avis faibles et expérience trop variable ; garder en base mais ne pas recommander par défaut.,,,,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
Bistrot Alexandre III,"Pont Alexandre III, 75007 Paris",Paris,7e,restaurant / bar,bord de Seine,20-30 €,25,nuageux,"Bistrot/bar au niveau du Pont Alexandre III, emplacement fort mais avis mitigés.",ouvert / fiche établissement active,toute l’année,toute l’année,public,Fiche établissement,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/191870-seine-side-terraces-in-paris-and-ile-de-france-the-water-s-edge-spots-in-2026,business ouvert,2026-06-14,2,0,Avis faibles ; ne pas pousser dans l’app sauf besoin emplacement Pont Alexandre III.,,,,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Vedettes de Paris,"2 Port de Suffren, 75007 Paris",Paris,7e,croisière promenade,croisière touristique,15-35 €,25,nuageux,"Croisières depuis la Tour Eiffel, bonne option simple pour voir Paris depuis l’eau.",ouvert / rotations quotidiennes,toute l’année,toute l’année,billetterie,Fiche établissement officielle,https://www.vedettesdeparis.fr/,business ouvert,2026-06-14,4,1,,,,,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
Le Signac,"3 Port Debilly, 75016 Paris",Paris,16e,bateau privé / location,bateau privé,privatisation / devis,120,grand soleil,"Bateau/privatisation près de la Tour Eiffel, plutôt événement privé/pro.",ouvert / activité événementielle,toute l’année,toute l’année,privatisation,Fiche établissement,https://www.parisseine.com/,business actif,2026-06-14,3,1,,Pas sortie spontanée ; tag pro/privatisation.,,,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1
Concorde Atlantique,"23 Quai Anatole France, 75007 Paris",Paris,7e,bar / restaurant / club / terrasses,bateau événementiel,20-50 €,35,nuageux,"Bateau avec plusieurs niveaux et terrasses, soirées et événements au bord de Seine.",ouvert selon horaires événementiels,toute l’année,selon programmation,public / privatisation / soirées,Fiche établissement,https://concorde-atlantique.fr/,fiche active à confirmer,2026-06-14,3,1,,Vérifier programmation avant recommandation.,,,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0
Le Diamant Bleu,"36 Quai d’Austerlitz, 75013 Paris",Paris,13e,dîner-croisière / événementiel,croisière restaurant,70-120 €,90,grand soleil,"Bateau événementiel et dîner-croisière, plutôt groupes, événements et soirées.",ouvert / activité à vérifier selon réservation,toute l’année,toute l’année,réservation / événementiel,Guides restaurant péniche + fiche établissement,https://www.diamantbleu.fr/,fiche active à confirmer,2026-06-14,3,1,,Conserver avec fiabilité moyenne : fiches variables selon adresse.,,,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0
