nom,categorie_principale,adresse_complete,arrondissement,ville,petite_couronne,type,prix_eur_pers,prix_moyen_eur,budget_meteo,description_courte,statut,saisonnier,acces,lat,lng,inclure_app,avec_solo,avec_duo,avec_potos,avec_pro,pour_rooftop,pour_tranquillo,pour_allocco,pour_resto,pour_gastro,pour_incognito,pour_apero,pour_disco,pour_eau,pour_nocturne,pour_terrasse_hiver,pour_guinguette,pour_street_food,nationalite_street_food,budget_grand_soleil,budget_nuageux,budget_pluie,fiabilite,reco_sources,notes_app,source_url,date_verification
Danico,cocktail / bar reconnu,"6 Rue Vivienne, 75002 Paris",02,Paris,0,bar a cocktails,10-30 €,22,nuageux,"Cocktail bar reconnu dans la Galerie Vivienne, bon pour date ou pro cool.",ouvert,toute l'annee,public,,,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,1,0,bonne,TimeOut cocktails / fiche business,,https://www.danico-paris.com/,2026-06-14
The Cambridge Public House,cocktail pub reconnu,"8 Rue de Poitou, 75003 Paris",03,Paris,0,cocktail pub / bar,15-30 €,25,nuageux,"Cocktail pub du Marais, classé par 50 Best, plus chaleureux que guindé.",ouvert,toute l'annee,public,,,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,1,0,bonne,World's 50 Best Bars / TimeOut cocktails,,https://www.thecambridge.paris/,2026-06-14
Bar Nouveau,cocktail / date,"5 Rue des Haudriettes, 75003 Paris",03,Paris,0,bar a cocktails,10-20 €,18,pluie,"Petit bar cocktail art nouveau, intime, très bon pour duo.",ouvert,toute l'annee,public,,,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,bonne,TimeOut cocktails / fiche business,,https://www.timeout.com/paris/en/bars-pubs/best-cocktail-bars-in-paris,2026-06-14
Fréquence,cocktail / musique,"20 Rue Keller, 75011 Paris",11,Paris,0,bar a cocktails / vinyl bar,20-30 €,25,nuageux,"Cocktails + sélection musicale/vinyle, bon apéro tardif sans être une boîte.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,1,0,bonne,TimeOut cocktails / TimeOut world's best bars / fiche business,,https://www.timeout.com/travel/worlds-best-bars,2026-06-14
Combat,cocktail,"63 Rue de Belleville, 75019 Paris",19,Paris,0,bar a cocktails,10-20 €,18,pluie,"Bar cocktail reconnu côté Belleville, ambiance cool et moins bling.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,bonne,TimeOut cocktails / fiche business,,https://www.timeout.com/paris/en/bars-pubs/best-cocktail-bars-in-paris,2026-06-14
Bisou.,cocktail / no menu,"15 Bd du Temple, 75003 Paris",03,Paris,0,bar a cocktails,10-20 €,18,pluie,"Bar sans carte fixe, cocktails selon goûts, bon premier date pas trop formel.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,bonne,fiche business / guides cocktails,,https://www.bisouparis.com/,2026-06-14
CopperBay,cocktail,"5 Rue Bouchardon, 75010 Paris",10,Paris,0,bar a cocktails,10-20 €,18,pluie,"Cocktail bar reconnu, ambiance bord de mer chic mais détendue.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,bonne,fiche business / guides cocktails,,https://www.copperbay.fr/,2026-06-14
Sister Midnight,cocktail / date,"4 Rue Viollet-le-Duc, 75009 Paris",09,Paris,0,bar a cocktails,10-20 €,18,pluie,"Petit cocktail bar intime, bien pour duo / premier verre.",ouvert,toute l'annee,public,,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,bonne,TimeOut cocktails / fiche business,,https://www.timeout.com/paris/en/bars-pubs/best-cocktail-bars-in-paris,2026-06-14
Harry's New York Bar,cocktail classique,"5 Rue Daunou, 75002 Paris",02,Paris,0,bar a cocktails historique,10-20 €,20,pluie,"Institution historique des cocktails à Paris, classique et central.",ouvert,toute l'annee,public,,,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,bonne,guides bars classiques / fiche business,,https://www.harrysbar.fr/,2026-06-14
Le Tres Particulier,cocktail / caché,"23 Av. Junot Pavillon D, 75018 Paris",18,Paris,0,cocktail bar / hotel particulier,25-45 €,35,nuageux,"Bar confidentiel de l'Hôtel Particulier Montmartre, très duo/incognito.",ouvert,toute l'annee,public,,,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,,0,1,0,bonne,fiche business / guides bars cachés,,https://www.hotelparticulier.com/,2026-06-14
Serpent a Plume,bar / restaurant / events,"24 Pl. des Vosges, 75003 Paris",03,Paris,0,restaurant / cocktail bar / club privé vibe,10-60 €,40,nuageux,"Adresse Place des Vosges, hybride bar-restaurant, plus sélective et nocturne.",ouvert,toute l'annee,public,,,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,,0,1,0,bonne,TimeOut speakeasy / fiche business,,https://www.timeout.fr/paris/bars/les-meilleurs-speakeasys-de-paris,2026-06-14
Rex Club,disco / club,"5 Bd Poissonnière, 75002 Paris",02,Paris,0,club techno / house,15-25 €,22,nuageux,"Institution techno/house parisienne, recommandée pour vraie sortie club.",ouvert,selon programmation,billetterie / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,0,bonne,Resident Advisor clubs Paris / fiche business,,https://ra.co/guides/clubs-in-paris,2026-06-14
Djoon Club,disco / club,"22 Bd Vincent Auriol, 75013 Paris",13,Paris,0,club house / soul / disco,15-25 €,22,nuageux,"Club reconnu pour house, soulful et disco; vraie piste, pas simple bar.",ouvert,selon programmation,billetterie / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,0,bonne,Resident Advisor clubs Paris / fiche business,,https://ra.co/guides/clubs-in-paris,2026-06-14
Badaboum,disco / club,"2 bis Rue des Taillandiers, 75011 Paris",11,Paris,0,club / live venue,15-30 €,25,nuageux,"Salle Bastille fiable pour concerts, DJ sets et clubbing.",ouvert,selon programmation,billetterie / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,0,bonne,Resident Advisor clubs Paris / fiche business,,https://ra.co/guides/clubs-in-paris,2026-06-14
La Machine du Moulin Rouge,disco / club,"90 Bd de Clichy, 75018 Paris",18,Paris,0,night club / live venue,15-30 €,25,nuageux,"Grosse salle reconnue Pigalle, programmation club/concert.",ouvert,selon programmation,billetterie / programmation,,,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,0,bonne,lieu reconnu / fiche business,,https://www.lamachinedumoulinrouge.com/,2026-06-14
La Java,disco / club,"105 Rue du Faubourg du Temple, 75010 Paris",10,Paris,0,night club historique,10-20 €,18,pluie,"Club historique de Belleville, programmation électronique/queer/alternative.",ouvert,selon programmation,billetterie / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,1,bonne,Resident Advisor clubs Paris / fiche business,,https://ra.co/guides/clubs-in-paris,2026-06-14
T7 Paris,disco / club,"Pl. des Insurgés de Varsovie, 75015 Paris",15,Paris,0,club / grande salle,20-35 €,28,nuageux,"Grand club en hauteur Porte de Versailles, programmation DJ/électronique.",ouvert,selon programmation,billetterie / programmation,,,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,0,bonne,fiche business / programmation officielle,,https://www.t7paris.com/,2026-06-14
Virage Paris,disco / open air club,"26 Rue Hélène et François Missoffe, 75017 Paris",17,Paris,0,club / open air,10-30 €,22,nuageux,"Club/open-air aux portes de Paris, plutôt saison et programmation électronique.",ouvert,saisonnier / selon programmation,billetterie / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,0,1,0,bonne,Resident Advisor clubs Paris / fiche business,A afficher surtout en saison.,https://ra.co/guides/clubs-in-paris,2026-06-14
Cabaret Sauvage,disco / live venue,"59 Bd Macdonald, 75019 Paris",19,Paris,0,club / live venue / chapiteau,15-35 €,28,nuageux,"Lieu reconnu de la Villette, concerts et soirées club.",ouvert,selon programmation,billetterie / programmation,,,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,0,bonne,fiche business / lieu reconnu,,https://www.cabaretsauvage.com/,2026-06-14
La Gare - Le Gore,disco / live + club,"1 Av. Corentin Cariou, 75019 Paris",19,Paris,0,live bar / disco club,10-20 €,18,pluie,"Jazz/live en haut, club en sous-sol; vrai lieu nocturne culturel.",ouvert,selon programmation,public / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,1,bonne,fiche business / scène indépendante,,https://www.lagare-le-gore.com/,2026-06-14
Petit Bain,peniche / club,"7 Port de la Gare, 75013 Paris",13,Paris,0,peniche / concert hall / club / restaurant,10-30 €,22,nuageux,"Péniche culturelle sur la Seine: concerts, bar, club et terrasse.",ouvert,toute l'annee / selon programmation,public / billetterie selon event,,,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,,0,1,0,bonne,fiche business / lieu culturel reconnu,,https://petitbain.org/,2026-06-14
Glazart,disco / club,"7 Av. de la Porte de la Villette, 75019 Paris",19,Paris,0,club / live venue,15-30 €,22,nuageux,"Club/lieu live reconnu côté Villette, programmation alternative.",ouvert,selon programmation,billetterie / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,0,bonne,Resident Advisor clubs Paris / fiche business,,https://ra.co/guides/clubs-in-paris,2026-06-14
Nouveau Casino,disco / club,"109 Rue Oberkampf, 75011 Paris",11,Paris,0,live venue / club,10-25 €,20,pluie,Salle Oberkampf reconnue pour concerts et nuits club.,ouvert,selon programmation,billetterie / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,1,bonne,fiche business / lieu historique,,https://nouveaucasino.net/,2026-06-14
Kilometre25,disco / open air,"8 Bd Macdonald, 75019 Paris",19,Paris,0,open air club,20-30 €,25,nuageux,"Open-air électronique sous le périphérique, très saisonnier.",ouvert,saisonnier / selon programmation,billetterie / programmation,,,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,0,1,0,bonne,Resident Advisor clubs Paris / fiche business,Ne pas afficher hors saison sans re-check.,https://ra.co/guides/clubs-in-paris,2026-06-14
Panic Room,bar club,"101 Rue Amelot, 75011 Paris",11,Paris,0,bar / club,10-20 €,18,pluie,Bar-club avec sous-sol dansant; plus casual que gros club.,ouvert,toute l'annee / selon programmation,public,,,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,1,bonne,fiche business,,https://www.panicroomparis.com/,2026-06-14
Silencio,club / restaurant,"142 Rue Montmartre, 75002 Paris",02,Paris,0,club prive / restaurant / bar,50 €+,60,grand soleil,"Club sélectif et culturel, utile pro/incognito mais à réserver selon event.",ouvert,selon programmation,sur resa / membres / events,,,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,,1,0,0,bonne,lieu reconnu / fiche business,Sélectif; garder seulement avec mention accès.,https://silencio-club.com/,2026-06-14
Rosa Bonheur sur Seine,peniche / bar sur l'eau,"2 Port des Invalides, 75007 Paris",07,Paris,0,bar / peniche / tapas,10-30 €,25,nuageux,"Péniche conviviale près du Pont Alexandre III, apéro + danse selon soirs.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,,0,1,0,bonne,TimeOut / Sortir a Paris / fiche business,,https://www.rosabonheur.fr/rosa-bonheur-sur-seine/,2026-06-14
Fluctuart,peniche / art urbain,"2 Port du Gros Caillou, 75007 Paris",07,Paris,0,centre d'art flottant / bar / rooftop,10-25 €,18,pluie,"Lieu flottant gratuit dédié au street art, bar et terrasse sur Seine.",ouvert,toute l'annee,public,,,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,,0,0,1,bonne,Sortir a Paris floating terraces / site officiel / fiche business,,https://fluctuart.fr/,2026-06-14
Le Mazette,peniche / bar-club,"69 Port de la Rapée, 75012 Paris",12,Paris,0,bar / club / restaurant sur peniche,10-30 €,25,nuageux,"Barge hybride bar, resto, open-air et club; très bon pour potos.",ouvert,toute l'annee / selon programmation,public / billetterie selon event,,,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,,0,1,0,bonne,Paris je t'aime / Sortir a Paris / fiche business,,https://parisjetaime.com/eng/culture/le-mazette-p4690,2026-06-14
La Dame de Canton,peniche / live,"5 Port de la Gare, 75013 Paris",13,Paris,0,restaurant / bar / live venue sur bateau,20-30 €,25,nuageux,"Jonque chinoise amarrée, bar-resto et concerts, très identifiable.",ouvert,toute l'annee / selon programmation,public / billetterie selon event,,,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,,0,1,0,bonne,fiche business / lieu culturel,,https://www.damedecanton.com/,2026-06-14
Le Flow,peniche / bar-club,"4 Port des Invalides, 75007 Paris",07,Paris,0,bar / club / peniche,10-60 €,35,nuageux,Péniche festive près des Invalides; utile eau + nocturne.,ouvert,toute l'annee,public,,,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,0,1,0,moyenne - avis mixtes mais lieu connu,fiche business,A garder avec prudence: avis plus mixtes que les autres.,https://flow-paris.com/,2026-06-14
Peniche Antipode,peniche / canal,"55 Quai de la Seine, 75019 Paris",19,Paris,0,peniche / bar / theatre / restaurant,10-25 €,18,pluie,"Péniche du canal de l'Ourcq, plus tranquille/culturelle que club.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,,0,0,1,bonne,fiche business / lieu culturel,,https://www.penicheantipode.fr/,2026-06-14
Le Marcounet,peniche / bar jazz,"14 Quai de l'Hôtel de Ville, 75004 Paris",04,Paris,0,peniche / bar / jazz,10-30 €,22,nuageux,"Péniche centrale avec jazz et terrasse, bon duo/apéro.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,,0,1,0,bonne,guides peniches / site officiel,,https://www.peniche-marcounet.fr/,2026-06-14
Bateau Phare,peniche / bar-club,"3 Port de la Gare, 75013 Paris",13,Paris,0,peniche / bar / club,10-30 €,22,nuageux,"Péniche historique côté Bibliothèque, programmation festive.",ouvert,selon programmation,public / billetterie selon event,,,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,0,1,0,bonne,guides peniches / site officiel,,https://www.bateauphare.com/,2026-06-14
La Javelle,guinguette / plein air,"5 Bd Poniatowski, 75012 Paris",12,Paris,0,guinguette / bar / food / concerts,10-25 €,18,pluie,"Guinguette estivale avec food, DJ sets et grande terrasse.",ouvert / a verifier saison,saisonnier,public / selon events,,,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,multi-cuisine selon stands,0,0,1,bonne,Sortir a Paris guinguettes / fiche business,Re-check avant affichage car le site Bercy Beaucoup ressort fermé dans certaines fiches.,https://www.sortiraparis.com/en/where-to-eat-in-paris/bars-cafes/guides/329014-guinguettes-in-paris-and-ile-de-france-in-2026-our-top-picks-for-a-pre-dinner-drink,2026-06-14
Rosa Bonheur Buttes Chaumont,guinguette / parc,"2 Av. de la Cascade, 75019 Paris",19,Paris,0,bar / guinguette / tapas,10-20 €,18,pluie,"Guinguette emblématique dans les Buttes-Chaumont, apéro/potos.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,1,bonne,TimeOut guinguettes / fiche business,,https://www.rosabonheur.fr/rosa-bonheur-buttes-chaumont/,2026-06-14
Pavillon Puebla,guinguette / parc,"Av. Darcel, 75019 Paris",19,Paris,0,bar / cocktail / terrasse,10-30 €,22,nuageux,"Grande terrasse dans le parc des Buttes-Chaumont, apéro/potos.",ouvert,principalement belle saison,public / events,,,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,0,bonne,Sortir a Paris guinguettes / fiche business,,https://www.pavillonpuebla.fr/,2026-06-14
La REcyclerie,tiers-lieu / terrasse,"83 Bd Ornano, 75018 Paris",18,Paris,0,bar / restaurant / tiers-lieu,10-20 €,18,pluie,"Tiers-lieu éco-responsable avec terrasse et ferme urbaine, bon solo/potos.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,,0,0,1,bonne,guides terrasses / fiche business,,https://www.larecyclerie.com/,2026-06-14
Ground Control,food court / terrasse,"81 Rue du Charolais, 75012 Paris",12,Paris,0,bar / food court / centre culturel,10-20 €,18,pluie,"Grand lieu hybride food, bar, events; très bien potos et solo safe.",ouvert,toute l'annee,public,,,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,multi-cuisine,0,0,1,bonne,fiche business / lieu culturel reconnu,,https://www.groundcontrolparis.com/,2026-06-14
Jardin21,guinguette / jardin,"12a Rue Ella Fitzgerald, 75019 Paris",19,Paris,0,bar / jardin / restaurant,10-20 €,18,pluie,"Jardin-guinguette près de La Villette, terrasse, events et DJ sets.",ouvert,principalement belle saison,public / events,,,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,1,bonne,Sortir a Paris guinguettes / fiche business,,https://www.jardin21.fr/,2026-06-14
Le Pavillon des Canaux,canal / maison-bar,"39 Quai de la Loire, 75019 Paris",19,Paris,0,bar / brunch / brasserie au bord du canal,10-20 €,18,pluie,"Maison-bar colorée au bord du canal, bon duo/tranquillo.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,,0,0,1,bonne,fiche business / lieu reconnu,Terrasse/hiver à revalider selon météo.,https://www.pavillondescanaux.com/,2026-06-14
La Cite Fertile,guinguette / tiers-lieu,"14 Av. Edouard Vaillant, 93500 Pantin",,Pantin,1,tiers-lieu / bar / jardin,10-20 €,18,pluie,"Grand tiers-lieu à Pantin, ambiance guinguette/extérieur, petite couronne.",ouvert,selon programmation,public / events,,,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,1,bonne,Sortir a Paris guinguettes / fiche business,,https://citefertile.com/,2026-06-14
La Prairie du Canal,guinguette / ferme urbaine,"55 Rue de Paris, 93000 Bobigny",,Bobigny,1,ferme urbaine / bar / events,10-20 €,18,pluie,"Guinguette/ferme urbaine de petite couronne, très saison et week-end.",ouvert,saisonnier / week-end,public / events,,,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,1,bonne,Sortir a Paris guinguettes / fiche business,,https://www.prairieducanal.fr/,2026-06-14
La Guinguette de Neuilly,guinguette / bord de Seine,"Ile de la Jatte, 12 Bd Georges Seurat, 92200 Neuilly-sur-Seine",,Neuilly-sur-Seine,1,restaurant / guinguette / bord de Seine,25-45 €,35,nuageux,"Adresse de l'île de la Jatte, plus resto bord de Seine que fête populaire.",ouvert,toute l'annee,public,,,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,,0,1,0,bonne,Sortir a Paris guinguettes / fiche business,,https://www.laguinguettedeneuilly.fr/,2026-06-14
Urfa Durum,street-food / solo,"58 Rue du Faubourg Saint-Denis, 75010 Paris",10,Paris,0,kebab / durum / turc-kurde,10-20 €,15,pluie,"Durüm culte, rapide, parfait solo ou petit budget.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,turc / kurde / durum,0,0,1,bonne,TimeOut cheap eats / Eater / fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
L'As du Fallafel,street-food / solo,"34 Rue des Rosiers, 75004 Paris",04,Paris,0,falafel / street-food,10-20 €,15,pluie,"Falafel iconique du Marais, rapide, budget pluie.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,levantin / falafel,0,0,1,bonne,guides cheap eats / fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Chez Alain Miam Miam,street-food / sandwich,"26 Rue Charlot, 75003 Paris",03,Paris,0,sandwich / crepes,10-20 €,15,pluie,"Sandwich généreux du Marché des Enfants Rouges, très solo.",ouvert,toute l'annee,public,,,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,francais / sandwich,0,0,1,bonne,guides cheap eats / fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Miznon,street-food / pita,"22 Rue des Ecouffes, 75004 Paris",04,Paris,0,pita / mediterraneen,10-20 €,15,pluie,"Pitas méditerranéennes, simple, efficace, bon solo/potos.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,mediterraneen / israelien,0,0,1,bonne,guides food / fiche business,,https://www.eater.com/maps/best-restaurants-paris-france,2026-06-14
El Nopal,street-food / tacos,"3 Rue Eugene Varlin, 75010 Paris",10,Paris,0,tacos / mexicain,10-20 €,15,pluie,"Tacos mexicains directs et abordables, parfait rotation allocco.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,mexicain / tacos,0,0,1,bonne,guides street-food / fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Taco Mesa,street-food / tacos,"40 Rue du Faubourg Poissonniere, 75010 Paris",10,Paris,0,tacos / mexicain,20-30 €,25,nuageux,"Tacos bien notés, plus confort que pur comptoir.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,mexicain / tacos,0,1,0,bonne,fiche business,,https://www.tacomesa.fr/,2026-06-14
Petit Bao,street-food / bao,"10 Rue Breguet, 75011 Paris",11,Paris,0,bao / dim sum / chinois,15-30 €,22,nuageux,"Bao et dim sum, pratique solo ou potos.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,chinois / bao,0,1,0,bonne,Sortir a Paris street-food asiatique / fiche business,,https://www.baofamily.co/,2026-06-14
Gros Bao,street-food / bao,"72 Quai de Jemmapes, 75010 Paris",10,Paris,0,restaurant chinois / bao / noodles,20-30 €,25,nuageux,"Grand spot chinois canal Saint-Martin, plus potos que comptoir.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,chinois / bao,0,1,0,bonne,Sortir a Paris street-food asiatique / fiche business,,https://www.baofamily.co/,2026-06-14
Kodawari Ramen,solo counter / ramen,"29 Rue Mazarine, 75006 Paris",06,Paris,0,ramen / japonais,10-20 €,18,pluie,"Ramen immersif, facile seul au comptoir, gros potentiel app solo.",ouvert,toute l'annee,public,,,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,japonais / ramen,0,0,1,bonne,fiche business / guides ramen,,https://www.kodawari-ramen.com/,2026-06-14
Udon Jubey,solo counter / udon,"39 Rue Sainte-Anne, 75001 Paris",01,Paris,0,udon / japonais,10-20 €,18,pluie,"Udon rue Sainte-Anne, très compatible manger seul.",ouvert,toute l'annee,public,,,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,japonais / udon,0,0,1,bonne,fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Kintaro,solo counter / japonais,"24 Rue Saint-Augustin, 75002 Paris",02,Paris,0,japonais populaire,10-20 €,18,pluie,"Adresse japonaise populaire, rapide, idéale solo.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,japonais,0,0,1,bonne,fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Neko Ramen,solo counter / ramen,"6 Rue de la Grange Bateliere, 75009 Paris",09,Paris,0,ramen,10-20 €,18,pluie,"Ramen accessible, très bon usage solo/duo.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,japonais / ramen,0,0,1,bonne,fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Hakata Choten,solo counter / ramen,"53 Rue des Petits Champs, 75001 Paris",01,Paris,0,ramen,10-20 €,18,pluie,"Ramen central, petit budget, comptoir compatible.",ouvert,toute l'annee,public,,,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,japonais / ramen,0,0,1,bonne,fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
TranTranZai,street-food / nouilles,"94 Rue St Denis, 75001 Paris",01,Paris,0,nouilles chinoises,10-20 €,18,pluie,"Nouilles sichuanaises, rapide, ouvert tard ven/sam.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,chinois / nouilles,0,0,1,bonne,fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Pho Banh Cuon 14,street-food / vietnamien,"129 Av. de Choisy, 75013 Paris",13,Paris,0,pho / vietnamien,10-20 €,18,pluie,"Pho populaire du 13e, efficace solo et petit budget.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,vietnamien / pho,0,0,1,bonne,fiche business / guides 13e,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Best Tofu,cheap eat / chinois,"9 Bd de la Villette, 75010 Paris",10,Paris,0,chinois / tofu / petit budget,1-10 €,10,pluie,"Adresse très abordable, budget pluie fort.",ouvert,toute l'annee,public,,,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,chinois,0,0,1,bonne,TimeOut cheap eats / fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Dumbo,street-food / burger,"64 Rue Jean-Baptiste Pigalle, 75009 Paris",09,Paris,0,burger / smash burger,10-20 €,18,pluie,"Smash burger populaire, rapide, bon solo/potos.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,americain / burger,0,0,1,bonne,guides cheap eats / fiche business,,https://www.timeout.com/paris/en/feature/food/pariss-best-cheap-eats,2026-06-14
Bouillon Chartier Grands Boulevards,bouillon / pas cher,"7 Rue du Faubourg Montmartre, 75009 Paris",09,Paris,0,bouillon / brasserie francaise,10-20 €,18,pluie,"Classique budget pluie, service rapide, gros volume.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,0,1,bonne,guides cheap eats / fiche business,,https://www.bouillon-chartier.com/,2026-06-14
Bouillon Republique,bouillon / pas cher,"39 Bd du Temple, 75003 Paris",03,Paris,0,bouillon / brasserie francaise,20-30 €,22,nuageux,"Bouillon moderne, très bon rapport quantité/prix.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,0,1,0,bonne,guides cheap eats / fiche business,,https://bouillonlesite.com/bouillon-republique/,2026-06-14
Bouillon Pigalle,bouillon / pas cher,"22 Bd de Clichy, 75018 Paris",18,Paris,0,bouillon / brasserie francaise,20-30 €,22,nuageux,"Grand bouillon à Pigalle, pratique tard et budget maîtrisé.",ouvert,toute l'annee,public,,,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,,0,1,0,bonne,guides cheap eats / fiche business,,https://bouillonlesite.com/bouillon-pigalle/,2026-06-14
